,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
5,1793,2019-02-28 23:49:58.632,2019-03-01 00:19:51.760,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,5200,Subscriber,1959,Male,No,2019,2,28,23,night,Wednesday,60,29,0
43,116,2019-02-28 23:44:00.988,2019-02-28 23:45:57.482,104.0,4th St at 16th St,37.76704457969368,-122.39083349704742,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,823,Subscriber,1959,Male,No,2019,2,28,23,night,Wednesday,60,1,0
67,681,2019-02-28 23:19:37.366,2019-02-28 23:30:58.862,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,6333,Subscriber,1959,Male,No,2019,2,28,23,night,Wednesday,60,11,0
495,235,2019-02-28 21:17:57.047,2019-02-28 21:21:52.631,34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,58.0,Market St at 10th St,37.776619,-122.417385,5202,Subscriber,1954,Male,No,2019,2,28,21,night,Wednesday,65,3,0
505,352,2019-02-28 21:14:29.897,2019-02-28 21:20:22.700,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,27.0,Beale St at Harrison St,37.7880593,-122.3918648,5108,Subscriber,1958,Male,No,2019,2,28,21,night,Wednesday,61,5,0
765,630,2019-02-28 20:25:20.686,2019-02-28 20:35:51.676,170.0,Telegraph Ave at 58th St,37.8444927,-122.261351,170.0,Telegraph Ave at 58th St,37.8444927,-122.261351,5759,Subscriber,1956,Female,No,2019,2,28,20,evening,Wednesday,63,10,0
838,875,2019-02-28 20:08:36.373,2019-02-28 20:23:11.948,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,6234,Subscriber,1958,Male,No,2019,2,28,20,evening,Wednesday,61,14,0
929,120,2019-02-28 20:10:23.915,2019-02-28 20:12:24.382,8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,16.0,Steuart St at Market St,37.79413,-122.39443,5234,Subscriber,1958,Male,No,2019,2,28,20,evening,Wednesday,61,2,0
994,384,2019-02-28 19:56:45.837,2019-02-28 20:03:10.473,250.0,North Berkeley BART Station,37.873558,-122.283093,257.0,Fifth St at Delaware St,37.870407115465376,-122.29967594146729,1671,Subscriber,1954,Male,No,2019,2,28,19,evening,Wednesday,65,6,0
1071,168,2019-02-28 19:51:59.099,2019-02-28 19:54:47.427,160.0,West Oakland BART Station,37.8053183,-122.2948365,230.0,14th St at Mandela Pkwy,37.8107432,-122.2914153,1074,Subscriber,1957,Male,No,2019,2,28,19,evening,Wednesday,62,2,0
1073,303,2019-02-28 19:49:38.120,2019-02-28 19:54:42.044,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,6333,Subscriber,1945,Male,Yes,2019,2,28,19,evening,Wednesday,74,5,0
1203,923,2019-02-28 19:24:14.527,2019-02-28 19:39:37.560,60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,29.0,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323337,5025,Subscriber,1957,Male,No,2019,2,28,19,evening,Wednesday,62,15,0
1223,702,2019-02-28 19:25:19.173,2019-02-28 19:37:01.195,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,5943,Customer,1959,Male,No,2019,2,28,19,evening,Wednesday,60,11,0
1235,475,2019-02-28 19:28:10.439,2019-02-28 19:36:06.343,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,6333,Subscriber,1959,Male,No,2019,2,28,19,evening,Wednesday,60,7,0
1238,300,2019-02-28 19:30:48.931,2019-02-28 19:35:49.528,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,6265,Subscriber,1956,Male,No,2019,2,28,19,evening,Wednesday,63,5,0
1285,148,2019-02-28 19:29:17.627,2019-02-28 19:31:45.967,158.0,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901,173.0,Shattuck Ave at 55th St,37.8403643,-122.2644881,5391,Subscriber,1900,Male,Yes,2019,2,28,19,evening,Wednesday,119,2,0
1343,1362,2019-02-28 19:02:33.643,2019-02-28 19:25:16.561,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,97.0,14th St at Mission St,37.7682646,-122.4201102,48,Subscriber,1954,Male,No,2019,2,28,19,evening,Wednesday,65,22,0
1356,561,2019-02-28 19:14:40.123,2019-02-28 19:24:01.450,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,6192,Subscriber,1954,Male,No,2019,2,28,19,evening,Wednesday,65,9,0
1417,1413,2019-02-28 18:54:58.353,2019-02-28 19:18:31.559,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,285.0,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732,5474,Subscriber,1957,Male,No,2019,2,28,18,evening,Wednesday,62,23,0
1484,359,2019-02-28 19:06:10.196,2019-02-28 19:12:09.313,223.0,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186,106.0,Sanchez St at 17th St,37.7632417,-122.4306746,6579,Subscriber,1954,Female,No,2019,2,28,19,evening,Wednesday,65,5,0
1526,852,2019-02-28 18:54:26.814,2019-02-28 19:08:39.214,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,6.0,The Embarcadero at Sansome St,37.80477,-122.403234,5091,Subscriber,1952,Male,No,2019,2,28,18,evening,Wednesday,67,14,0
1586,683,2019-02-28 18:52:11.054,2019-02-28 19:03:34.528,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,26.0,1st St at Folsom St,37.78729,-122.39438,4976,Subscriber,1948,Male,No,2019,2,28,18,evening,Wednesday,71,11,0
1680,342,2019-02-28 18:51:32.946,2019-02-28 18:57:15.179,72.0,Page St at Scott St,37.772406,-122.4356498,86.0,Market St at Dolores St,37.7693053,-122.4268256,1683,Subscriber,1958,Male,No,2019,2,28,18,evening,Wednesday,61,5,0
1786,1155,2019-02-28 18:30:55.781,2019-02-28 18:50:11.711,22.0,Howard St at Beale St,37.789756,-122.394643,126.0,Esprit Park,37.7616343,-122.3906477,2063,Subscriber,1959,Male,No,2019,2,28,18,evening,Wednesday,60,19,0
1808,376,2019-02-28 18:42:33.428,2019-02-28 18:48:49.483,203.0,Webster St at 2nd St,37.795194764385954,-122.27396965026855,160.0,West Oakland BART Station,37.8053183,-122.2948365,5780,Subscriber,1957,Male,No,2019,2,28,18,evening,Wednesday,62,6,0
1821,627,2019-02-28 18:37:27.573,2019-02-28 18:47:55.277,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,4693,Subscriber,1957,Male,Yes,2019,2,28,18,evening,Wednesday,62,10,0
1847,288,2019-02-28 18:41:35.474,2019-02-28 18:46:23.632,58.0,Market St at 10th St,37.776619,-122.417385,34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,6220,Subscriber,1954,Male,No,2019,2,28,18,evening,Wednesday,65,4,0
1944,620,2019-02-28 18:30:09.708,2019-02-28 18:40:30.308,14.0,Clay St at Battery St,37.795001,-122.39997,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,5827,Subscriber,1958,Male,No,2019,2,28,18,evening,Wednesday,61,10,0
1989,811,2019-02-28 18:23:47.025,2019-02-28 18:37:18.746,211.0,Broadway at 40th St,37.8277573,-122.2567156,249.0,Russell St at College Ave,37.8584732,-122.2532529,5691,Subscriber,1959,Male,No,2019,2,28,18,evening,Wednesday,60,13,0
1994,473,2019-02-28 18:29:06.246,2019-02-28 18:36:59.732,61.0,Howard St at 8th St,37.7765126,-122.4113061,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,5276,Subscriber,1957,Male,No,2019,2,28,18,evening,Wednesday,62,7,0
2002,403,2019-02-28 18:29:50.716,2019-02-28 18:36:34.606,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,61.0,Howard St at 8th St,37.7765126,-122.4113061,6258,Subscriber,1957,Male,No,2019,2,28,18,evening,Wednesday,62,6,0
2075,432,2019-02-28 18:25:58.871,2019-02-28 18:33:11.351,171.0,Rockridge BART Station,37.84427875399067,-122.251900434494,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,3433,Subscriber,1951,Male,No,2019,2,28,18,evening,Wednesday,68,7,0
2085,694,2019-02-28 18:21:05.187,2019-02-28 18:32:39.596,107.0,17th St at Dolores St,37.7630152,-122.4264968,89.0,Division St at Potrero Ave,37.76921786152374,-122.40764558315276,385,Subscriber,1941,Male,No,2019,2,28,18,evening,Wednesday,78,11,0
2183,674,2019-02-28 18:15:58.637,2019-02-28 18:27:13.620,129.0,Harrison St at 20th St,37.758862,-122.412544,131.0,22nd St at Dolores St,37.75500026037814,-122.42572769522668,379,Subscriber,1958,Male,No,2019,2,28,18,evening,Wednesday,61,11,0
2314,294,2019-02-28 18:14:31.459,2019-02-28 18:19:25.939,166.0,College Ave at Alcatraz Ave,37.8513755,-122.2525233,171.0,Rockridge BART Station,37.84427875399067,-122.251900434494,3433,Subscriber,1951,Male,No,2019,2,28,18,evening,Wednesday,68,4,0
