,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
30089,397,2019-02-24 22:12:17.173,2019-02-24 22:18:54.980,127.0,Valencia St at 21st St,37.7567083,-122.421025,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,4943,Subscriber,1945,Male,Yes,2019,2,24,22,night,Saturday,74,6,0
30329,198,2019-02-24 20:37:28.392,2019-02-24 20:40:46.840,175.0,49th St at Telegraph Ave,37.8359455,-122.2623663,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,5773,Subscriber,1951,Male,No,2019,2,24,20,evening,Saturday,68,3,0
30356,578,2019-02-24 20:22:18.170,2019-02-24 20:31:56.230,251.0,California St at University Ave,37.87055532905745,-122.27972030639648,251.0,California St at University Ave,37.87055532905745,-122.27972030639648,1953,Subscriber,1956,Male,Yes,2019,2,24,20,evening,Saturday,63,9,0
30405,487,2019-02-24 20:06:13.706,2019-02-24 20:14:21.570,42.0,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823,60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,6087,Subscriber,1945,Male,No,2019,2,24,20,evening,Saturday,74,8,0
30453,673,2019-02-24 19:49:22.307,2019-02-24 20:00:35.751,24.0,Spear St at Folsom St,37.7896767,-122.3904285,79.0,7th St at Brannan St,37.7734919,-122.4036725,6383,Subscriber,1943,Male,Yes,2019,2,24,19,evening,Saturday,76,11,0
30468,611,2019-02-24 19:45:51.105,2019-02-24 19:56:03.103,182.0,19th Street BART Station,37.8090126,-122.2682473,197.0,El Embarcadero at Grand Ave,37.8088479,-122.2496799,3599,Subscriber,1954,Male,No,2019,2,24,19,evening,Saturday,65,10,0
30489,206,2019-02-24 19:46:31.709,2019-02-24 19:49:57.867,247.0,Fulton St at Bancroft Way,37.8677892,-122.2658964,266.0,Parker St at Fulton St,37.8624644,-122.2647911,4548,Subscriber,1959,Male,No,2019,2,24,19,evening,Saturday,60,3,0
30501,257,2019-02-24 19:42:13.830,2019-02-24 19:46:31.574,147.0,29th St at Tiffany Ave,37.7440667,-122.4214722,140.0,Cesar Chavez St at Dolores St,37.7478584,-122.4249863,5901,Subscriber,1959,Male,No,2019,2,24,19,evening,Saturday,60,4,0
30531,257,2019-02-24 19:31:12.417,2019-02-24 19:35:29.984,109.0,17th St at Valencia St,37.7633158,-122.4219039,110.0,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.4152042,2977,Subscriber,1949,Male,No,2019,2,24,19,evening,Saturday,70,4,0
30594,466,2019-02-24 19:10:14.492,2019-02-24 19:18:00.710,100.0,Bryant St at 15th St,37.7671004,-122.410662,223.0,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186,4381,Subscriber,1957,Male,No,2019,2,24,19,evening,Saturday,62,7,0
30669,341,2019-02-24 18:52:36.079,2019-02-24 18:58:17.363,266.0,Parker St at Fulton St,37.8624644,-122.2647911,252.0,Channing Way at Shattuck Ave,37.8658466,-122.2674431,1376,Subscriber,1959,Male,No,2019,2,24,18,evening,Saturday,60,5,0
30678,575,2019-02-24 18:46:18.515,2019-02-24 18:55:53.662,61.0,Howard St at 8th St,37.7765126,-122.4113061,368.0,Myrtle St at Polk St,37.78543382786823,-122.41962164640428,6332,Subscriber,1957,Male,No,2019,2,24,18,evening,Saturday,62,9,0
30701,396,2019-02-24 18:45:29.310,2019-02-24 18:52:06.114,140.0,Cesar Chavez St at Dolores St,37.7478584,-122.4249863,147.0,29th St at Tiffany Ave,37.7440667,-122.4214722,5901,Subscriber,1959,Male,No,2019,2,24,18,evening,Saturday,60,6,0
30708,420,2019-02-24 18:42:25.267,2019-02-24 18:49:25.886,109.0,17th St at Valencia St,37.7633158,-122.4219039,100.0,Bryant St at 15th St,37.7671004,-122.410662,4381,Subscriber,1957,Male,No,2019,2,24,18,evening,Saturday,62,7,0
30746,303,2019-02-24 18:37:08.176,2019-02-24 18:42:11.667,110.0,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.4152042,98.0,Valencia St at 16th St,37.765052,-122.4218661,2299,Subscriber,1949,Male,No,2019,2,24,18,evening,Saturday,70,5,0
30771,215,2019-02-24 18:33:30.225,2019-02-24 18:37:05.984,246.0,Berkeley Civic Center,37.8690599,-122.270556,251.0,California St at University Ave,37.87055532905745,-122.27972030639648,4587,Subscriber,1953,Male,No,2019,2,24,18,evening,Saturday,66,3,0
30778,196,2019-02-24 18:32:51.844,2019-02-24 18:36:08.570,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,175.0,49th St at Telegraph Ave,37.8359455,-122.2623663,5773,Subscriber,1951,Male,No,2019,2,24,18,evening,Saturday,68,3,0
31098,1093,2019-02-24 17:24:49.739,2019-02-24 17:43:02.819,96.0,Dolores St at 15th St,37.7662102,-122.4266136,72.0,Page St at Scott St,37.772406,-122.4356498,5517,Subscriber,1951,Male,No,2019,2,24,17,evening,Saturday,68,18,0
31170,565,2019-02-24 17:22:07.444,2019-02-24 17:31:32.522,257.0,Fifth St at Delaware St,37.870407115465376,-122.29967594146729,250.0,North Berkeley BART Station,37.873558,-122.283093,3177,Subscriber,1954,Male,No,2019,2,24,17,evening,Saturday,65,9,0
31185,889,2019-02-24 17:13:59.438,2019-02-24 17:28:48.491,183.0,Telegraph Ave at 19th St,37.8087021,-122.2699271,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,5773,Subscriber,1951,Male,No,2019,2,24,17,evening,Saturday,68,14,0
31299,524,2019-02-24 17:04:00.970,2019-02-24 17:12:45.746,240.0,Haste St at Telegraph Ave,37.8660431,-122.2588044,167.0,College Ave at Harwood Ave,37.848152,-122.2521599,5074,Subscriber,1947,Male,No,2019,2,24,17,evening,Saturday,72,8,0
31373,407,2019-02-24 16:57:48.786,2019-02-24 17:04:36.248,24.0,Spear St at Folsom St,37.7896767,-122.3904285,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,5465,Subscriber,1958,Female,No,2019,2,24,16,afternoon,Saturday,61,6,0
31377,457,2019-02-24 16:56:39.622,2019-02-24 17:04:17.081,246.0,Berkeley Civic Center,37.8690599,-122.270556,268.0,Ellsworth St at Russell St,37.85749021457153,-122.26157784461977,5787,Subscriber,1958,Male,No,2019,2,24,16,afternoon,Saturday,61,7,0
31394,495,2019-02-24 16:53:34.367,2019-02-24 17:01:49.487,160.0,West Oakland BART Station,37.8053183,-122.2948365,160.0,West Oakland BART Station,37.8053183,-122.2948365,6441,Subscriber,1959,Male,Yes,2019,2,24,16,afternoon,Saturday,60,8,0
31409,849,2019-02-24 16:45:49.588,2019-02-24 16:59:58.785,310.0,San Fernando St at 4th St,37.335885,-121.88566,289.0,5th St at Taylor St,37.3510173,-121.8959209,4026,Subscriber,1957,Male,Yes,2019,2,24,16,afternoon,Saturday,62,14,0
31422,401,2019-02-24 16:52:00.055,2019-02-24 16:58:41.913,274.0,Oregon St at Adeline St,37.8575672,-122.2675583,248.0,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949,4627,Subscriber,1950,Male,No,2019,2,24,16,afternoon,Saturday,69,6,0
31424,362,2019-02-24 16:51:57.486,2019-02-24 16:58:00.350,196.0,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932,182.0,19th Street BART Station,37.8090126,-122.2682473,3599,Subscriber,1954,Male,No,2019,2,24,16,afternoon,Saturday,65,6,0
31522,1877,2019-02-24 16:12:13.047,2019-02-24 16:43:30.052,152.0,47th St at San Pablo Ave,37.83563220458518,-122.28105068206789,18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,5089,Subscriber,1957,Male,Yes,2019,2,24,16,afternoon,Saturday,62,31,0
